iter	Passed	Remaining
0	5	10810
1	7	7456
2	8	5621
3	9	4730
4	10	4293
5	11	3897
6	12	3538
7	14	3486
8	15	3524
9	17	3469
10	19	3548
11	21	3561
12	23	3607
13	25	3656
14	27	3677
15	29	3716
16	31	3647
17	32	3596
18	33	3515
19	34	3458
20	35	3356
21	36	3269
22	37	3230
23	38	3147
24	39	3098
25	40	3112
26	42	3139
27	43	3060
28	43	2976
29	44	2897
30	44	2825
31	44	2766
32	47	2815
33	48	2802
34	49	2768
35	50	2758
36	50	2701
37	51	2649
38	51	2598
39	52	2548
40	52	2508
41	53	2489
42	53	2451
43	55	2455
44	55	2423
45	56	2393
46	56	2368
47	57	2338
48	58	2310
49	59	2316
50	59	2285
51	60	2253
52	60	2222
53	60	2192
54	61	2164
55	61	2144
56	62	2122
57	62	2101
58	64	2106
59	64	2090
60	65	2073
61	65	2054
62	66	2034
63	66	2011
64	66	1992
65	67	1980
66	68	1963
67	68	1958
68	69	1938
69	70	1939
70	71	1948
71	72	1933
72	72	1922
73	73	1914
74	74	1900
75	74	1887
76	75	1888
77	76	1875
78	76	1863
79	77	1853
80	77	1841
81	78	1830
82	78	1818
83	79	1807
84	79	1795
85	80	1782
86	80	1768
87	80	1755
88	81	1742
89	81	1731
90	81	1718
91	82	1708
92	82	1695
93	83	1683
94	83	1672
95	83	1660
96	84	1664
97	85	1656
98	85	1646
99	86	1638
100	86	1627
101	87	1624
102	87	1619
103	88	1614
104	89	1608
105	89	1600
106	90	1595
107	90	1588
108	91	1581
109	91	1579
110	92	1573
111	93	1572
112	93	1565
113	94	1562
114	95	1569
115	96	1563
116	96	1560
117	97	1556
118	98	1556
119	99	1551
120	99	1550
121	100	1543
122	100	1534
123	100	1526
124	101	1519
125	101	1511
126	102	1506
127	102	1498
128	102	1490
129	103	1485
130	103	1483
131	104	1478
132	104	1473
133	105	1466
134	105	1459
135	105	1452
136	106	1447
137	106	1441
138	107	1438
139	108	1436
140	108	1433
141	109	1428
142	109	1423
143	110	1426
144	111	1420
145	111	1413
146	111	1408
147	112	1401
148	112	1395
149	112	1389
150	112	1383
151	113	1377
152	113	1371
153	113	1365
154	114	1360
155	114	1354
156	114	1348
157	115	1343
158	115	1337
159	115	1332
160	116	1327
161	116	1322
162	116	1317
163	117	1312
164	117	1308
165	118	1311
166	119	1309
167	119	1305
168	120	1300
169	120	1295
170	120	1290
