iter	RMSE
0	7950.442965
1	7941.797397
2	7936.53844
3	7931.404599
4	7919.140208
5	7914.712855
6	7910.543812
7	7906.618123
8	7898.93244
9	7895.29292
10	7887.201948
11	7884.121196
12	7881.219529
13	7878.467852
14	7875.89552
15	7868.610187
16	7851.67722
17	7847.473778
18	7825.707723
19	7820.553521
20	7818.696675
21	7797.973831
22	7783.852089
23	7782.304902
24	7780.828746
25	7775.813772
26	7769.379032
27	7764.733898
28	7763.570039
29	7760.641023
30	7757.430689
31	7756.129829
32	7754.515041
33	7751.41466
34	7737.43703
35	7736.673126
36	7729.890053
37	7724.796785
38	7721.238612
39	7717.788189
40	7717.10329
41	7715.366114
42	7714.85318
43	7714.27288
44	7713.690592
45	7708.73714
46	7704.599787
47	7693.149438
48	7692.741165
49	7674.48377
50	7670.678571
51	7670.350849
52	7666.916654
53	7666.624134
54	7666.347995
55	7666.088101
56	7664.079989
57	7623.831402
58	7623.541954
59	7621.26926
60	7621.00804
61	7620.808226
62	7620.571887
63	7619.507223
64	7616.331199
65	7616.126733
66	7615.934278
67	7610.88936
68	7608.844295
69	7608.676062
70	7607.811609
71	7606.41474
72	7570.702198
73	7569.934273
74	7566.43759
75	7566.35793
76	7564.671715
77	7562.150472
78	7561.153444
79	7560.177005
80	7559.065288
81	7557.608013
82	7557.494838
83	7555.687545
84	7555.592625
85	7552.56276
86	7551.766197
87	7551.404376
88	7551.300416
89	7538.324431
90	7535.391823
91	7535.099674
92	7534.062614
93	7533.786409
94	7532.720153
95	7516.529154
96	7516.38424
97	7505.6893
98	7485.027788
99	7483.562162
100	7482.744477
101	7482.612128
102	7480.36689
103	7479.455495
104	7478.657163
105	7478.560662
106	7439.746195
107	7438.30729
108	7427.470386
109	7423.909091
110	7390.137352
111	7387.492703
112	7387.408395
113	7387.359415
114	7387.011614
115	7353.947852
116	7353.653976
117	7353.424318
118	7346.593499
119	7345.950635
120	7343.615227
121	7342.683271
122	7342.607186
123	7342.535483
124	7338.615395
125	7336.997859
126	7327.972288
127	7327.671181
128	7325.46124
129	7325.433447
130	7319.026425
131	7318.438079
132	7317.957557
133	7300.708882
134	7292.202669
135	7291.639195
136	7265.919868
137	7265.829255
138	7264.450538
139	7247.952263
140	7247.376107
141	7247.341118
142	7247.251489
143	7247.152999
144	7247.128977
145	7246.838148
146	7246.626817
147	7246.596559
148	7246.568023
149	7246.54111
150	7246.515724
151	7246.497376
152	7245.988614
153	7245.932946
154	7238.153189
155	7238.134811
156	7238.120057
157	7232.087073
158	7231.698143
159	7231.120823
160	7231.023774
161	7210.192309
162	7209.673372
163	7208.192601
164	7208.100043
165	7207.906366
166	7206.554307
167	7206.533372
168	7205.129911
169	7203.73007
170	7195.189153
171	7193.550813
172	7192.368916
173	7192.291093
174	7191.783225
175	7191.308255
176	7191.289205
177	7190.053477
178	7189.598617
179	7189.471989
180	7189.107336
181	7182.286919
182	7182.162908
183	7182.148109
184	7182.133716
185	7180.655714
186	7179.978542
187	7179.429654
188	7162.587467
189	7161.596117
190	7160.995866
191	7160.981002
192	7160.342993
193	7159.873013
194	7132.485308
195	7132.375787
196	7132.282301
197	7131.959131
198	7131.653836
199	7131.528708
200	7131.516411
201	7131.397971
202	7113.900763
203	7110.382098
204	7109.236951
205	7108.799385
206	7107.015225
207	7103.530434
208	7096.914031
209	7080.941126
210	7080.615008
211	7080.146613
212	7080.058957
213	7080.04452
214	7080.030817
215	7079.922515
216	7079.511539
217	7079.453961
218	7079.438992
219	7079.09753
220	7044.092664
221	7043.775665
222	7009.170903
223	7009.157958
224	7007.950558
225	7007.712384
226	6982.077409
227	6970.972214
228	6970.669173
229	6936.869907
230	6903.460814
231	6870.436615
232	6870.419991
233	6869.317203
234	6867.637754
235	6867.619999
236	6857.331879
237	6857.31768
238	6857.300793
239	6857.287598
240	6855.412112
241	6855.069568
242	6855.030339
243	6854.616771
244	6842.300335
245	6841.996618
246	6840.956936
247	6817.473782
248	6785.395501
249	6767.969556
250	6745.66678
251	6745.561198
252	6745.25774
253	6745.245071
254	6728.692704
255	6707.243038
256	6706.859471
257	6676.101058
258	6676.081042
259	6645.680738
260	6615.633993
261	6615.242455
262	6585.542193
263	6556.186519
264	6555.964474
265	6536.251283
266	6516.968388
267	6488.436299
268	6488.419743
