iter	RMSE
0	34103.31093
1	34088.72351
2	34073.87373
3	34059.76837
4	34046.14234
5	34032.63727
6	34019.91274
7	34006.87179
8	33994.17746
9	33980.75676
10	33966.98592
11	33954.99293
12	33936.62875
13	33918.9355
14	33907.77794
15	33892.89079
16	33882.1936
17	33868.93462
18	33855.52318
19	33843.01521
20	33830.98637
21	33820.17312
22	33810.6514
23	33796.75095
24	33787.62524
25	33777.00223
26	33765.72821
27	33757.88116
28	33747.25713
29	33739.11542
30	33729.93022
31	33718.45086
32	33710.4128
33	33701.96969
34	33694.18477
35	33687.00656
36	33679.10198
37	33673.1906
38	33666.40628
39	33659.73716
40	33652.56399
41	33645.65564
42	33638.11734
43	33633.28049
44	33624.67204
45	33618.3997
46	33612.37587
47	33606.46999
48	33600.75627
49	33595.24259
50	33589.45812
51	33584.1316
52	33578.90511
53	33575.12704
54	33570.19548
55	33566.63485
56	33561.73085
57	33556.89467
58	33552.10222
59	33547.74655
60	33543.55828
61	33538.90022
62	33534.1851
63	33529.6519
64	33525.20748
65	33521.01386
66	33517.51219
67	33513.38185
68	33510.91598
69	33506.87931
70	33503.70652
71	33499.86759
72	33496.86092
73	33493.96511
74	33490.25674
75	33486.47331
76	33482.91565
77	33479.42724
78	33475.51927
79	33472.07032
80	33467.27663
81	33464.29471
82	33460.58967
83	33456.94825
84	33453.80854
85	33449.45522
86	33447.85763
87	33445.25094
88	33443.21179
89	33440.26447
90	33437.27107
91	33433.52353
92	33428.55779
93	33425.72562
94	33423.43021
95	33420.67405
96	33417.96359
97	33415.30017
98	33411.92366
99	33410.32291
100	33408.49853
101	33299.71189
102	33296.05694
103	33294.98613
104	33291.25886
105	33288.79219
106	33285.69306
107	33284.20375
108	33277.92527
109	33275.60169
110	33272.4984
111	33270.18784
112	33267.36504
113	33264.05828
114	33261.35919
115	33259.26055
116	33257.18418
117	33256.38727
118	33250.13963
119	33247.56861
120	33181.97422
121	33180.88128
122	33176.47479
123	33174.75515
124	33172.28667
125	33170.35212
126	33167.9378
127	33166.04282
128	33163.69062
129	33161.85435
130	33160.5649
131	33093.02391
132	33092.14009
133	33070.05394
134	33067.39731
135	33065.32183
136	33061.56893
137	33016.91061
138	33016.01627
139	33013.92829
140	33010.80277
141	33001.40768
142	32983.07997
143	32982.86837
144	32981.81062
145	32912.0562
146	32886.11549
147	32883.7159
148	32882.15655
149	32880.56607
150	32839.59439
151	32822.66305
152	32821.11482
153	32711.75133
154	32695.95313
155	32694.317
156	32693.78371
157	32693.67112
158	32688.23405
159	32681.89544
160	32678.38615
161	32671.61812
162	32669.64553
163	32666.19262
164	32659.99309
165	32649.06515
166	32647.1461
167	32647.05334
168	32641.93138
169	32608.7521
170	32598.80967
171	32593.38935
172	32532.45523
173	32521.24933
174	32519.85065
175	32511.15199
176	32509.68339
177	32507.89495
178	32505.3358
179	32504.3501
180	32503.12724
181	32497.47999
182	32495.1495
183	32495.0746
184	32489.87783
185	32489.79625
186	32488.46311
187	32486.85143
188	32486.45658
189	32478.71239
190	32478.42425
191	32470.24739
192	32413.9454
193	32413.88132
194	32412.84461
195	32359.84098
196	32282.37619
197	32281.12878
198	32280.49332
199	32275.90542
200	32269.07815
201	32244.89894
202	32244.67806
203	32244.20702
204	32244.13971
205	32243.69974
206	32243.29261
207	32129.9651
208	32115.90968
209	32114.98082
210	32114.70051
211	32095.07623
212	32081.97637
213	32081.03507
214	32079.82697
215	32073.9603
216	32073.9601
217	32051.97171
218	32029.59419
219	31929.06954
220	31922.47218
221	31921.26019
222	31920.43031
223	31842.77201
224	31840.58049
225	31840.58018
226	31833.09909
227	31832.33916
228	31828.5751
229	31828.56317
230	31824.32612
231	31824.28425
232	31821.11053
233	31820.90521
234	31819.81247
235	31818.53601
236	31818.51287
237	31816.55958
238	31769.90428
239	31769.74077
240	31769.70147
241	31768.9991
242	31587.06707
243	31585.49453
244	31583.06094
245	31582.31602
246	31581.78977
247	31542.99921
248	31541.46799
249	31540.23959
250	31538.99532
251	31526.74264
252	31526.24565
253	31525.30441
