iter	Passed	Remaining
0	58	117214
1	59	59607
2	60	40575
3	61	30694
4	61	24697
5	62	20823
6	64	18228
7	64	16028
8	64	14321
9	65	12983
10	65	11852
11	66	11003
12	66	10211
13	67	9617
14	68	9036
15	68	8509
16	69	8062
17	69	7658
18	69	7287
19	70	6948
20	70	6651
21	70	6373
22	71	6120
23	71	5889
24	71	5679
25	72	5523
26	73	5358
27	73	5208
28	74	5046
29	74	4913
30	75	4779
31	75	4660
32	76	4546
33	77	4476
34	77	4375
35	78	4275
36	78	4189
37	79	4099
38	79	4015
39	80	3941
40	80	3862
41	81	3790
42	81	3715
43	82	3658
44	82	3597
45	83	3537
46	83	3479
47	84	3423
48	84	3373
49	85	3318
50	85	3269
51	86	3224
52	86	3178
53	86	3133
54	87	3091
55	87	3052
56	88	3009
57	88	2969
58	89	2939
59	89	2902
60	90	2869
61	90	2831
62	90	2796
63	91	2762
64	91	2729
65	92	2698
66	92	2666
67	92	2635
68	92	2601
69	93	2571
70	93	2542
71	93	2514
72	94	2487
73	94	2471
74	95	2449
75	96	2430
76	96	2413
77	97	2407
78	98	2403
79	99	2379
80	99	2361
81	100	2344
82	100	2323
83	101	2305
84	101	2285
85	101	2267
86	102	2247
87	102	2227
88	102	2208
89	103	2193
90	103	2175
91	104	2157
92	104	2139
93	104	2122
94	105	2109
95	106	2110
96	106	2096
97	107	2081
98	107	2067
99	108	2065
100	109	2050
101	109	2046
102	110	2036
103	111	2037
104	112	2031
105	113	2019
106	113	2008
107	114	1997
108	115	1996
109	115	1983
110	116	1975
111	116	1966
112	117	1955
113	117	1943
114	118	1940
115	118	1930
116	119	1919
117	119	1907
118	120	1899
119	120	1889
120	121	1879
121	121	1868
122	121	1857
123	122	1846
124	122	1836
125	122	1827
126	123	1818
127	124	1815
128	124	1810
129	125	1806
130	126	1800
131	126	1794
132	127	1792
133	128	1783
134	128	1776
135	129	1779
136	130	1771
137	130	1762
138	131	1757
139	131	1751
140	132	1745
141	132	1736
142	133	1729
143	133	1722
144	133	1713
145	134	1706
146	134	1699
147	135	1691
148	135	1682
149	135	1676
150	136	1670
151	138	1679
152	138	1673
153	139	1666
154	139	1658
155	139	1652
156	140	1647
157	140	1640
158	141	1634
159	141	1628
160	141	1621
161	142	1614
162	142	1607
163	143	1601
164	143	1594
165	143	1588
166	144	1581
167	144	1576
168	145	1571
169	145	1565
170	145	1558
171	146	1553
172	146	1547
173	147	1544
174	147	1539
175	148	1534
176	148	1529
177	148	1524
178	149	1520
179	149	1514
180	150	1510
181	150	1505
