,client_id,pay_dt,pay_sum,recurrentis,pay_method,pay_purpose_cat,pay_hour
6703,81662625-B780-41E6-ACEE-F8F5162E79A2,2015-07-19,101.0,1,cards,general,20
3191,81662625-B780-41E6-ACEE-F8F5162E79A2,2015-07-19,100.0,0,cards,general,20
9591,BDAA50F8-8C5B-4D26-880C-54AE83C2FE01,2015-07-20,102.0,0,cards,general,1
3296,BDAA50F8-8C5B-4D26-880C-54AE83C2FE01,2015-07-20,98.0,0,cards,general,0
6892,BDAA50F8-8C5B-4D26-880C-54AE83C2FE01,2015-07-20,6.0,0,cards,general,1
11665,E1E9B170-6909-4E04-AEA3-F806A61C5F03,2015-07-24,456.0,1,cards,general,23
13363,218FBB72-B48F-45EA-A120-5124107614B8,2015-07-24,123.0,1,cards,general,23
13340,0329CF14-1F5B-4776-9A2A-5236B02CF6AC,2015-07-24,111.0,1,cards,general,23
6565,0329CF14-1F5B-4776-9A2A-5236B02CF6AC,2015-07-24,111.0,1,cards,general,23
10821,E275E779-6491-4391-90DB-CAB5A888D95C,2015-07-24,1000.0,1,cards,general,23
902,E275E779-6491-4391-90DB-CAB5A888D95C,2015-07-25,8814.0,1,cards,general,21
11347,E275E779-6491-4391-90DB-CAB5A888D95C,2015-07-25,8814.0,1,cards,general,21
13480,E275E779-6491-4391-90DB-CAB5A888D95C,2015-07-25,8814.0,1,cards,general,21
5283,E275E779-6491-4391-90DB-CAB5A888D95C,2015-07-25,8814.0,1,cards,general,21
129,417B3F81-9393-4568-B17B-F51758495158,2015-07-26,8815.0,1,cards,general,22
10619,417B3F81-9393-4568-B17B-F51758495158,2015-07-26,8815.0,1,cards,general,22
507,417B3F81-9393-4568-B17B-F51758495158,2015-07-26,8816.0,1,cards,general,22
6545,417B3F81-9393-4568-B17B-F51758495158,2015-07-26,8815.0,1,cards,general,22
10203,E275E779-6491-4391-90DB-CAB5A888D95C,2015-07-26,8814.0,1,cards,general,11
3177,417B3F81-9393-4568-B17B-F51758495158,2015-07-26,8815.0,1,cards,general,22
9142,E275E779-6491-4391-90DB-CAB5A888D95C,2015-07-26,8814.0,1,cards,general,10
11361,417B3F81-9393-4568-B17B-F51758495158,2015-07-26,8815.0,1,cards,general,22
10081,E275E779-6491-4391-90DB-CAB5A888D95C,2015-07-26,8814.0,1,cards,general,11
2577,417B3F81-9393-4568-B17B-F51758495158,2015-07-26,8815.0,1,cards,general,22
2988,E275E779-6491-4391-90DB-CAB5A888D95C,2015-07-26,8814.0,1,cards,general,11
2139,417B3F81-9393-4568-B17B-F51758495158,2015-07-26,8815.0,1,cards,general,22
3576,417B3F81-9393-4568-B17B-F51758495158,2015-07-26,8815.0,1,cards,general,22
6296,417B3F81-9393-4568-B17B-F51758495158,2015-07-26,8815.0,1,cards,general,22
7921,417B3F81-9393-4568-B17B-F51758495158,2015-07-26,8816.0,1,cards,general,22
36,76BA991D-2994-4896-BF00-F9ECB5F19DBD,2015-07-27,100.0,1,cards,general,9
5016,78D91D47-D3DA-4EE3-BD09-86E226ADAA12,2015-07-28,101.0,1,cards,general,20
2802,22813B2C-BF74-43B0-B6FB-1414A3DB1DDC,2015-07-30,7894.0,1,cards,general,18
5421,22813B2C-BF74-43B0-B6FB-1414A3DB1DDC,2015-07-30,5546.0,1,cards,general,18
10198,22813B2C-BF74-43B0-B6FB-1414A3DB1DDC,2015-07-30,7896.0,1,cards,general,18
4104,73B1499C-ACDB-4DBD-8FCF-9372BC5170A7,2015-08-01,156.0,1,cards,general,14
9687,3C027636-5022-4252-929E-56A9EE4DEAF3,2015-08-07,400.0,0,cards,general,17
11759,0729521E-F5EF-44F5-BDFE-F4C5E56BB7E0,2015-08-07,1000.0,1,cards,general,16
8454,64AE2C89-F75D-46C4-811C-CF199C3A43C9,2015-08-08,200.0,1,cards,general,14
2864,A6B2201D-133B-40F9-8792-F35BEB81E75E,2015-08-13,500.0,1,cards,general,12
5459,4A6E53AD-4134-499F-8FA5-FBBEA120687A,2015-08-14,100.0,1,cards,general,13
9083,4A6E53AD-4134-499F-8FA5-FBBEA120687A,2015-08-15,100.0,1,cards,general,12
8697,8FF6C695-6A45-4A2F-A235-39842D105114,2015-08-18,2000.0,0,cards,general,19
10835,438107E9-92CD-4E50-B7F1-D39A20938A55,2015-08-20,40.0,1,cards,general,19
939,E4BC642E-FBA6-4AF0-B967-F9CFEC97B12F,2015-08-22,5000.0,1,cards,general,8
4440,83A04F14-0867-40B6-BC10-73B298DA929B,2015-08-28,100.0,1,cards,general,11
9689,B9E49FE9-6994-473C-8A23-C21262563BB2,2015-09-01,1000.0,1,cards,general,17
4548,68B2D89F-1642-4572-8EF7-744E88228C75,2015-09-01,400.0,1,cards,general,22
8943,581781CC-D2DD-4394-8A1D-1EE06AF0BCD2,2015-09-01,50.0,1,cards,general,18
442,DBEA0A21-2566-4E33-8436-51750A6C7A1B,2015-09-01,300.0,1,cards,general,21
3133,701139D2-59E6-4B84-B1FD-191459A363D8,2015-09-02,300.0,1,cards,general,9
5188,B99CC8D5-A1B2-40BC-9D88-1C375DB22F9D,2015-09-02,300.0,1,cards,general,15
9980,0867DFFF-75BD-406B-80A6-979C66BDF208,2015-09-03,1000.0,1,cards,general,13
12985,2FFBBC8D-4440-462F-ACBF-EADEBB44E5FB,2015-09-03,300.0,1,cards,general,20
261,07923DBB-392D-4448-8117-E769F52AA476,2015-09-03,300.0,1,cards,general,16
6999,1B6C2E2C-BE75-47DF-A5F5-47A4D82A2C5D,2015-09-04,300.0,1,cards,general,14
12687,3A6E0A60-DD20-4A55-B3E3-AB20C3681881,2015-09-04,300.0,1,cards,general,17
12717,D10413C4-20E7-4930-8C32-4D5C0F068EB1,2015-09-04,800.0,1,cards,general,0
12251,EB06E97C-1AC3-40FC-9FA7-23E2CDE3B878,2015-09-04,500.0,1,cards,general,23
2280,3A59FCEA-7E30-4555-9C23-BB3877439285,2015-09-05,1000.0,1,cards,general,22
6204,8C612BDF-EA62-46C3-9A3E-097BF6D4DE89,2015-09-06,10000.0,0,cards,general,19
5543,0729521E-F5EF-44F5-BDFE-F4C5E56BB7E0,2015-09-08,1000.0,1,cards,general,16
14019,522A99CC-8446-4DFA-B14D-7E7890423957,2015-09-09,350.0,1,cards,general,16
12823,64AE2C89-F75D-46C4-811C-CF199C3A43C9,2015-09-09,200.0,1,cards,general,14
10518,818B5821-FA90-444E-BBC5-5D3683E3A702,2015-09-09,300.0,1,cards,general,8
7158,AA1206D2-152D-455C-B0BB-6648D2282FEE,2015-09-10,3000.0,0,cards,general,8
13462,522A99CC-8446-4DFA-B14D-7E7890423957,2015-09-10,500.0,1,cards,general,10
11910,E7B2C91F-F82B-48A8-89DA-4A2A0202F1B2,2015-09-12,500.0,1,cards,general,9
7407,C7E0BED8-CCA9-4B04-9C23-93C86671E218,2015-09-12,1000.0,0,cards,general,14
1886,A6B2201D-133B-40F9-8792-F35BEB81E75E,2015-09-13,500.0,1,cards,general,12
12041,4A6E53AD-4134-499F-8FA5-FBBEA120687A,2015-09-14,100.0,1,cards,general,13
7231,4A6E53AD-4134-499F-8FA5-FBBEA120687A,2015-09-15,100.0,1,cards,general,12
4155,FC0ED0C4-F2C2-4A0F-8EC9-4159A60FE8EF,2015-09-15,300.0,1,cards,general,10
2561,381A2117-21B6-4741-84D6-051E64E19B82,2015-09-16,400.0,1,cards,general,14
2533,6505400F-647C-4D81-8F6A-279FBE8E1D88,2015-09-20,500.0,1,cards,general,2
5791,C79E8C3E-6E98-4020-AF3F-6CA692C51D60,2015-09-20,300.0,1,cards,general,8
13301,AEC6A451-3CAC-48AB-AA9C-EA0388F44479,2015-09-20,5000.0,0,cards,general,1
7820,3BEA4E62-DBA8-4645-AF7D-D22E08DD436E,2015-09-20,250.0,0,cards,general,2
5827,438107E9-92CD-4E50-B7F1-D39A20938A55,2015-09-20,40.0,1,cards,general,19
8797,D7504BE2-6DAE-4C06-9C58-FCC96EBCF2C9,2015-09-20,500.0,1,cards,general,6
1407,C2B28548-4F98-49BA-8C51-78B924D1B7ED,2015-09-21,5000.0,0,cards,general,9
7183,8AB88688-1EAB-4F81-A373-9D4A2D88A75C,2015-09-21,10000.0,0,cards,general,12
8675,E3DA292F-8080-4C62-8B98-D5FDBA0C2D3E,2015-09-21,1000.0,0,cards,general,10
2791,E4BC642E-FBA6-4AF0-B967-F9CFEC97B12F,2015-09-22,5000.0,1,cards,general,8
1995,070F88C2-413C-4BFE-BA2F-BAE3B3ACF7A0,2015-09-24,1000.0,0,cards,general,21
2862,83A04F14-0867-40B6-BC10-73B298DA929B,2015-09-28,100.0,1,cards,general,11
2804,581781CC-D2DD-4394-8A1D-1EE06AF0BCD2,2015-10-01,50.0,1,cards,general,18
7378,68B2D89F-1642-4572-8EF7-744E88228C75,2015-10-01,400.0,1,cards,general,22
7804,DBEA0A21-2566-4E33-8436-51750A6C7A1B,2015-10-01,300.0,1,cards,general,21
